Country,Ease of Business,Business Tax Rate,Ease of Business (clusters),Hours to do Tax,Region,Year,Birth Rate,CO2 Emissions,Days to Start Business,Energy Usage,GDP,Health Exp % GDP,Health Exp/Capita,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Population 0-14,Population 15-64,Population 65+,Population Total,Population Urban,Tourism Inbound,Tourism Outbound
New Caledonia,,,Not Clustered,,Oceania,12/1/2012,0.016,,,,,,,,0.58,,79,73,0.912,0.228,0.673,0.099,258000,0.685,,
New Zealand,3,0.34,Very Friendly,152,Oceania,12/1/2012,0.014,,1,18566,171461000000,0.103,3292,0.005,0.82,0.058,83,79,1.104,0.203,0.661,0.136,4433000,0.862,5467000000,3718000000
Nicaragua,123,0.649,Moderate,207,The Americas,12/1/2012,0.023,,39,,10644973606,0.082,144,0.021,0.135,0.12,78,71,0.977,0.334,0.62,0.046,5991733,0.578,422000000,372000000
Niger,174,0.438,Low,270,Africa,12/1/2012,0.05,,17,,6773185511,0.072,25,0.062,0.014,,58,58,0.314,0.5,0.474,0.026,17157042,0.18,,
Nigeria,138,0.338,Moderate,956,Africa,12/1/2012,0.042,,28,,462979000000,0.061,94,0.077,0.328,0.168,52,52,0.668,0.442,0.531,0.027,168833776,0.452,641000000,9280000000
Norway,7,0.407,Very Friendly,87,Europe,12/1/2012,0.012,,7,29818,500030000000,0.09,9055,0.002,0.946,,84,80,1.167,0.186,0.659,0.155,5018573,0.797,5353000000,17559000000
Oman,44,0.22,Very Friendly,62,Middle East,12/1/2012,0.021,,8,,78289467471,0.026,690,0.01,0.6,0.057,79,75,1.593,0.242,0.731,0.028,3314001,0.762,1779000000,2184000000
Pakistan,106,0.346,Moderate,560,Asia,12/1/2012,0.026,,21,,224880000000,0.031,39,0.071,0.1,0.135,67,66,0.671,0.343,0.613,0.044,179160111,0.374,1014000000,1801000000
Panama,61,0.405,Friendly,431,The Americas,12/1/2012,0.02,,7,,37956200000,0.076,723,0.016,0.403,0.069,80,75,1.634,0.286,0.643,0.071,3802281,0.657,3784000000,605000000
Papua New Guinea,108,0.421,Moderate,207,Oceania,12/1/2012,0.029,,53,,15653921367,0.052,114,0.048,0.035,0.108,64,60,0.378,0.384,0.588,0.029,7167010,0.13,,
Paraguay,107,0.35,Moderate,387,The Americas,12/1/2012,0.024,,35,,24611040343,0.103,392,0.019,0.293,0.172,74,70,1.016,0.328,0.619,0.054,6687361,0.589,265000000,341000000
Peru,39,0.364,Very Friendly,293,The Americas,12/1/2012,0.02,,25,,192636000000,0.051,337,0.014,0.382,0.192,77,72,0.98,0.292,0.646,0.063,29987800,0.776,3288000000,1950000000
Philippines,133,0.445,Moderate,193,Asia,12/1/2012,0.025,,36,,250182000000,0.046,119,0.024,0.362,0.057,72,65,1.055,0.345,0.616,0.038,96706764,0.448,4900000000,6839000000
Poland,48,0.398,Very Friendly,286,Europe,12/1/2012,0.01,,32,96543,490213000000,0.067,854,0.005,0.623,,81,73,1.415,0.149,0.71,0.14,38535873,0.607,11835000000,9038000000
Portugal,29,0.42,Very Friendly,275,Europe,12/1/2012,0.009,,4,21949,212140000000,0.094,1905,0.003,0.603,,84,77,1.14,0.149,0.666,0.185,10514844,0.618,14559000000,4490000000
Puerto Rico,37,0.507,Very Friendly,218,The Americas,12/1/2012,0.011,,6,,101081000000,,,,0.69,,82,75,0.826,0.198,0.667,0.135,3651545,0.937,3193000000,1156000000
Qatar,45,0.113,Very Friendly,48,Middle East,12/1/2012,0.011,,9,,189945000000,0.022,2029,0.007,0.693,0.054,79,78,1.269,0.133,0.857,0.01,2050514,0.989,7220000000,10702000000
Romania,73,0.429,Friendly,216,Europe,12/1/2012,0.01,,10,,169396000000,0.051,420,0.011,0.459,0.113,78,71,1.05,0.15,0.7,0.15,20076727,0.541,1919000000,2112000000
Russian Federation,111,0.541,Moderate,177,Europe,12/1/2012,0.013,,18,,2017470000000,0.063,887,0.009,0.638,0.091,76,65,1.453,0.154,0.716,0.13,143178000,0.738,17876000000,48096000000
Rwanda,54,0.308,Friendly,134,Africa,12/1/2012,0.036,,3,,7133378888,0.107,66,0.039,0.08,,65,62,0.497,0.436,0.541,0.023,11457801,0.259,337000000,133000000
Samoa,55,0.189,Friendly,224,Oceania,12/1/2012,0.027,,9,,684273267,0.068,245,0.016,0.129,0.099,76,70,,0.379,0.57,0.051,188889,0.196,148000000,22300000
San Marino,74,0.422,Friendly,52,Europe,12/1/2012,0.01,,40,,,0.065,3792,0.003,0.509,,,,1.152,,,,31247,0.941,,
Sao Tome and Principe,166,0.325,Low,424,Africa,12/1/2012,0.035,,5,,263328450,0.079,109,0.038,0.216,0.262,68,64,0.65,0.416,0.55,0.034,188098,0.633,15000000,1300000
Saudi Arabia,22,0.145,Very Friendly,72,Middle East,12/1/2012,0.02,,21,,733956000000,0.032,795,0.014,0.54,,77,74,1.874,0.297,0.674,0.029,28287855,0.825,8400000000,17986000000
Senegal,176,0.455,Low,666,Africa,12/1/2012,0.038,,6,,14045680427,0.05,51,0.045,0.192,,65,62,0.836,0.435,0.534,0.03,13726021,0.428,,
Serbia,87,0.34,Friendly,279,Europe,12/1/2012,0.009,,12,,38110737579,0.105,561,0.006,0.481,0.182,78,73,1.178,0.165,0.695,0.14,7199077,0.553,1066000000,1176000000
Seychelles,77,0.257,Friendly,76,Africa,12/1/2012,0.019,,39,,1032199341,0.047,521,0.012,0.471,0.122,78,68,1.478,0.221,0.702,0.077,88303,0.529,26000000,4000000
Sierra Leone,137,0.324,Moderate,357,Africa,12/1/2012,0.037,,12,,3787392596,0.151,96,0.11,0.013,0.21,46,45,0.37,0.417,0.556,0.026,5978727,0.389,41000000,25000000
Singapore,1,0.276,Very Friendly,82,Asia,12/1/2012,0.01,,3,,286908000000,0.047,2426,0.002,0.72,0.054,85,80,1.521,0.165,0.738,0.097,5312400,1,19261000000,22412000000
Sint Maarten (Dutch part),,,Not Clustered,,The Americas,12/1/2012,,,,,,,,,,,,,,,,,39088,1,854000000,120000000
Slovak Republic,43,0.471,Very Friendly,207,Europe,12/1/2012,0.01,,14,16676,91347809328,0.078,1326,0.006,0.767,,80,73,1.119,0.15,0.723,0.127,5407579,0.542,2365000000,2307000000
Slovenia,31,0.339,Very Friendly,260,Europe,12/1/2012,0.011,,6,7143,45379174408,0.088,1942,0.002,0.683,,83,77,1.084,0.142,0.688,0.171,2057159,0.499,2841000000,1085000000
Solomon Islands,92,0.253,Friendly,80,Oceania,12/1/2012,0.031,,9,,999972421,0.08,148,0.026,0.07,0.113,69,66,0.55,0.404,0.563,0.033,549598,0.21,66900000,68000000
Somalia,,,Not Clustered,,Africa,12/1/2012,0.044,,,,,,,0.092,0.014,,56,53,0.226,0.473,0.498,0.028,10195134,0.382,,
South Africa,41,0.327,Very Friendly,200,Africa,12/1/2012,0.021,,19,,382338000000,0.088,645,0.034,0.41,0.088,58,54,1.306,0.295,0.65,0.054,52274945,0.633,11201000000,7144000000
South Sudan,184,0.263,Low,218,Africa,12/1/2012,0.037,,17,,10560000000,0.026,27,0.066,,,56,54,0.212,0.423,0.543,0.035,10837527,0.182,,
Spain,46,0.387,Very Friendly,167,Europe,12/1/2012,0.01,,28,124679,1322480000000,0.096,2808,0.004,0.698,,85,80,1.084,0.152,0.673,0.175,46761264,0.789,63198000000,21749000000
Sri Lanka,83,0.553,Friendly,254,Asia,12/1/2012,0.018,,8,,59393056426,0.031,89,0.009,0.183,0.133,77,71,0.916,0.252,0.666,0.082,20328000,0.183,1756000000,1219000000
St. Kitts and Nevis,97,0.519,Friendly,203,The Americas,12/1/2012,,,19,,731851852,0.059,825,0.008,0.793,0.087,,,1.418,,,,53584,0.318,94000000,14000000
St. Lucia,59,0.346,Friendly,92,The Americas,12/1/2012,0.016,,15,,1318148148,0.085,556,0.013,0.348,0.095,77,72,1.194,0.243,0.67,0.087,180870,0.185,335000000,49000000
St. Martin (French part),,,Not Clustered,,The Americas,12/1/2012,0.016,,,,,,,,,,82,76,,,,,30959,,,
St. Vincent and the Grenadines,75,0.387,Friendly,111,The Americas,12/1/2012,0.017,,10,,694444444,0.052,340,0.018,0.475,0.094,75,70,1.161,0.257,0.675,0.068,109373,0.495,93000000,14000000
Sudan,143,0.361,Moderate,180,Africa,12/1/2012,0.034,,36,,63029562337,0.072,115,0.053,0.21,,64,60,0.744,0.415,0.553,0.032,37195349,0.333,880000000,908000000
Suriname,165,0.279,Low,199,The Americas,12/1/2012,0.018,,694,,5012121212,0.059,521,0.021,0.347,0.117,74,68,1.065,0.278,0.656,0.066,534541,0.662,79000000,58000000
Swaziland,120,0.365,Moderate,104,Africa,12/1/2012,0.03,,56,,4049589166,0.085,259,0.057,0.208,0.088,48,49,0.654,0.38,0.585,0.034,1230985,0.214,,
Sweden,14,0.52,Very Friendly,122,Europe,12/1/2012,0.012,,16,48877,523941000000,0.096,5319,0.002,0.932,,84,80,1.246,0.167,0.644,0.189,9519374,0.854,12415000000,17664000000
Switzerland,27,0.291,Very Friendly,63,Europe,12/1/2012,0.01,,18,25500,631183000000,0.113,8980,0.004,0.852,0.027,85,81,1.321,0.148,0.678,0.174,7996861,0.737,19439000000,16675000000
Syrian Arab Republic,147,0.397,Low,336,Middle East,12/1/2012,0.024,,13,,,0.034,105,0.012,0.243,,78,72,0.593,0.354,0.607,0.039,22399254,0.565,,
Tajikistan,141,0.845,Moderate,224,Asia,12/1/2012,0.033,,24,,7633049792,0.058,55,0.042,0.145,0.252,71,64,0.815,0.358,0.61,0.032,8008990,0.266,60400000,6800000
Tanzania,136,0.449,Moderate,172,Africa,12/1/2012,0.04,,26,,28248631876,0.07,41,0.038,0.04,0.155,62,60,0.57,0.449,0.52,0.032,47783107,0.295,1605000000,1003000000
Thailand,18,0.372,Very Friendly,264,Asia,12/1/2012,0.01,,29,,365966000000,0.039,215,0.012,0.265,0.071,78,71,1.273,0.185,0.721,0.094,66785001,0.467,37740000000,7864000000
Timor-Leste,167,0.11,Low,276,Asia,12/1/2012,0.036,,94,,1355000000,0.043,50,0.048,0.009,0.122,69,66,0.557,0.463,0.505,0.032,1148958,0.308,21000000,80000000
Togo,159,0.489,Low,270,Africa,12/1/2012,0.037,,38,,3915754216,0.086,41,0.057,0.04,,57,55,0.499,0.419,0.554,0.027,6642928,0.385,,
Tonga,60,0.254,Friendly,164,Oceania,12/1/2012,0.026,,16,,471575497,0.054,238,0.011,0.349,0.1,75,70,0.534,0.373,0.568,0.058,104941,0.235,,
Trinidad and Tobago,63,0.291,Friendly,210,The Americas,12/1/2012,0.015,,41,,23436342520,0.054,972,0.02,0.595,0.077,74,66,1.408,0.207,0.705,0.088,1337439,0.088,,
Tunisia,49,0.624,Very Friendly,144,Africa,12/1/2012,0.019,,11,,45238491581,0.07,297,0.014,0.414,,77,73,1.181,0.232,0.697,0.071,10777500,0.663,2931000000,673000000
Turkey,72,0.4,Friendly,226,Europe,12/1/2012,0.017,,6,115701,788863000000,0.063,665,0.017,0.451,,78,72,0.915,0.26,0.667,0.073,73997128,0.718,32249000000,4604000000
Turkmenistan,,,Not Clustered,,Asia,12/1/2012,0.022,,,,35164210526,0.02,129,0.048,0.072,,70,61,1.141,0.286,0.673,0.041,5172931,0.49,,
Turks and Caicos Islands,,,Not Clustered,,The Americas,12/1/2012,,,,,,,,,,,,,,,,,32427,0.911,,
Uganda,126,0.366,Moderate,213,Africa,12/1/2012,0.044,,33,,20032237910,0.08,44,0.045,0.147,0.263,60,58,0.45,0.485,0.49,0.024,36345860,0.151,1105000000,604000000
Ukraine,140,0.554,Moderate,491,Europe,12/1/2012,0.011,,22,,176603000000,0.076,293,0.009,0.353,0.184,76,66,1.303,0.142,0.705,0.153,45593300,0.691,5988000000,5536000000
United Arab Emirates,26,0.149,Very Friendly,12,Middle East,12/1/2012,0.015,,8,,383799000000,0.028,1343,0.007,0.85,,78,76,1.496,0.144,0.852,0.004,9205651,0.847,,
United Kingdom,11,0.35,Very Friendly,110,Europe,12/1/2012,0.013,,12,192381,2461770000000,0.094,3647,0.004,0.875,0.005,84,80,1.248,0.175,0.653,0.172,63695687,0.818,45966000000,66182000000
United States,4,0.464,Very Friendly,175,The Americas,12/1/2012,0.013,,5,2132446,16244600000000,0.179,8895,0.006,0.793,0.033,81,76,0.96,0.196,0.667,0.136,313873685,0.811,200092000000,
Uruguay,85,0.419,Friendly,310,The Americas,12/1/2012,0.015,,7,,50004354667,0.089,1308,0.01,0.545,0.112,80,74,1.471,0.22,0.639,0.14,3395253,0.948,2222000000,1028000000
Uzbekistan,156,0.985,Low,205,Asia,12/1/2012,0.021,,12,,51183443225,0.059,105,0.038,0.365,,72,65,0.71,0.289,0.668,0.043,29774500,0.362,,
Vanuatu,78,0.084,Friendly,120,Oceania,12/1/2012,0.027,,35,,786938335,0.036,116,0.015,0.106,0.061,73,69,0.591,0.374,0.586,0.04,247262,0.252,288000000,43000000
"Venezuela, RB",180,0.619,Low,792,The Americas,12/1/2012,0.02,,144,,381286000000,0.046,593,0.013,0.491,0.164,78,72,1.021,0.288,0.652,0.06,29954782,0.889,904000000,3202000000
Vietnam,98,0.343,Friendly,872,Asia,12/1/2012,0.016,,34,,155820000000,0.066,102,0.02,0.395,0.135,80,71,1.477,0.229,0.706,0.066,88772900,0.317,6830000000,1856000000
Virgin Islands (U.S.),,,Not Clustered,,The Americas,12/1/2012,0.011,,,,,,,,0.405,,83,76,,0.206,0.641,0.152,105275,0.949,,
"Yemen, Rep.",129,0.327,Moderate,248,Middle East,12/1/2012,0.031,,40,,31992801303,0.055,71,0.042,0.174,0.245,64,62,0.583,0.407,0.565,0.028,23852409,0.329,1057000000,
Zambia,90,0.151,Friendly,183,Africa,12/1/2012,0.043,,17,,20596424325,0.065,96,0.057,0.135,0.121,59,55,0.748,0.467,0.506,0.026,14075099,0.396,155000000,154000000
Zimbabwe,168,0.345,Low,242,Africa,12/1/2012,0.032,,90,,12472416688,,,0.055,0.171,,59,57,0.919,0.402,0.558,0.039,13724317,0.328,749000000,
